# index, name, _pos
1816,FANCY DAN,"array([-11.09366065,  24.50170656])"
1817,FANDRAL [ASGARDIAN],"array([-14.52285666,  31.34054078])"
1818,FANDRAL | MUTANT X-V,"array([-23.92569889,  22.35845896])"
1819,FANG,"array([-6.32834754, 32.75912146])"
1820,FANG II,"array([-17.20326639,  29.01509521])"
1821,FANG III,"array([-4.41825702, 25.95989081])"
1822,FANTASIA,"array([-12.90207576,  26.48122709])"
1823,FANTASMA,"array([-12.47025444,  30.03447577])"
1824,FARAHD,"array([-21.18181325,  26.983504  ])"
1825,"FARGO, FLAGG","array([-5.75686061, 26.36338665])"
1826,FAROUK,"array([-11.23956619,  21.84038321])"
1827,"FARREL, MIKE","array([-9.02597294, 27.16960897])"
1828,FATALE/PAMELA GREENW,"array([-17.36032153,  25.8607182 ])"
1829,"FATE, IAN","array([-7.12216596, 27.48271945])"
1830,FATH,"array([-13.59939762,  31.58017467])"
1831,FATHER TIME,"array([-8.40614022, 33.19651922])"
1832,"FAVERSHAM, DAPHNE","array([-5.02548319, 19.7042806 ])"
1833,FAWKES,"array([-7.77037037, 30.5010927 ])"
1834,"FAWN, FELICIA","array([-7.29651092, 29.34605446])"
1835,FAYRELYTE STRONGHEAR,"array([-15.49868213,  30.35805366])"
1836,FAZE,"array([-11.17535948,  19.44939543])"
1837,FEAR EATER/KKALLAKKU,"array([-6.48776394, 29.87049533])"
1838,"FEIFFER, DEPUTY BEAU","array([-16.06754684,  33.78119371])"
1839,"FELDSTADT, DR. HANS","array([-10.04040348,  37.22430577])"
1840,FENRIS,"array([-62.36210598,  51.60151797])"
1841,"FENSTER, RICHARD","array([-12.70375571,  29.73217888])"
1842,"FENTON, BARNEY","array([-8.09497469, 19.73432417])"
1843,FENWAY,"array([-15.97188912,  20.92397879])"
1844,FER DE LANCE/TERESA,"array([-10.35770206,  26.70740321])"
1845,FERA,"array([-11.90087845,  22.82239415])"
1846,FERAL/MARIA CALLASAN,"array([-15.8809773 ,  26.43537207])"
1847,"FERGUSON, ISABEL","array([-17.33033704,  22.14724286])"
1848,FEROCIA/,"array([-11.84271093,  25.90265824])"
1849,FERON,"array([-17.68938036,  28.58350107])"
1850,"FERRARI, CONNIE","array([-8.66843784, 28.20485175])"
1851,FERRIS,"array([-16.93208059,  27.43621212])"
1852,FERRO2,"array([-16.39736216,  28.76243567])"
1853,FEUER,"array([-20.89558477,  28.17570545])"
1854,FEVER PITCH/,"array([-19.25174478,  23.06636135])"
1855,"FIDDLER, BARNEY","array([-7.92279443, 30.08085683])"
1856,FIELDER,"array([-20.74581421,  30.76852939])"
1857,"FIELDING, CLARENCE","array([-9.52212319, 20.52372896])"
1858,"FIELDS, MARJORIE","array([-8.03212956, 19.48848051])"
1859,"FIELDS, PROF. WILLIA","array([-8.16271201, 19.39482598])"
1860,"FIELDS, TODD","array([-8.79232888, 19.24666519])"
1861,"FIELDS, TRACI","array([-13.86499536,  22.46790509])"
1862,FIELDSTONE/,"array([-5.53813131, 30.61489646])"
1863,"FIELSTEIN, FIREWORKS","array([-14.00393382,  28.13945735])"
1864,FIFOLET,"array([-16.49118219,  22.70801284])"
1865,"FILLMORE, BETTY","array([-20.78509097,  20.08252517])"
1866,"FILLMORE, GARRET","array([-20.53308735,  20.04784802])"
1867,"FILLMORE, SHERIFF DO","array([-7.5407687, 34.4914309])"
1868,FIM,"array([-10.53408474,  38.97176388])"
1869,FIN/PETER NOBLE,"array([-8.99995507, 33.43024576])"
1870,FIN FANG FOOM/MIDGAR,"array([-9.89644334, 32.77373199])"
1871,FIN FANG FOOM | MUTA,"array([-24.06727455,  21.61456535])"
1872,FIRE EATER/TOMAS,"array([-11.42574794,  27.21183311])"
1873,FIREARM/,"array([-6.92882045, 29.28630879])"
1874,FIREBALLS/JACK FARLE,"array([-17.20086652,  22.86648598])"
1875,FIREBIRD/BONITA JUAR,"array([-10.52194518,  29.8731541 ])"
1876,FIREBOLT,"array([-19.19791821,  34.08725417])"
1877,FIREBRAND/GARY GILBE,"array([-8.54180414, 30.57664953])"
1878,FIREBRAND II/BROXTEL,"array([-12.89318363,  23.94411171])"
1879,FIREBRAND III/RICHAR,"array([-6.42783231, 32.44764879])"
1880,FIREBUG/,"array([-16.70338705,  30.6187201 ])"
1881,FIREFALL/KARAS,"array([-18.56196411,  32.81520457])"
1882,FIREFALL II,"array([-14.25691924,  35.00627841])"
1883,FIREFALL III/ARCHIE ,"array([-18.50082435,  32.60076708])"
1884,FIREFALL IV/TARN,"array([-20.90686803,  33.3747126 ])"
1885,FIREFIGHT/,"array([-6.76306219, 28.54274707])"
1886,FIREFIST/RUSTY COLLI,"array([-15.39161596,  27.21658803])"
1887,FIREFIST II/,"array([-10.23176865,  19.53060527])"
1888,FIREFLY,"array([-11.41123313,  22.88017579])"
1889,FIREFLY II,"array([-3.23561784, 30.15890699])"
1890,FIRELORD/PYREUS KRIL,"array([-12.94615594,  29.86275118])"
1891,FIRESTAR/ANGELICA JO,"array([-12.80933412,  26.64554588])"
1892,FIRESTAR DOPPELGANGE,"array([-16.38433206,  29.9855843 ])"
1893,FIRESTAR DOPPELGANGE,"array([-16.17475373,  22.20920728])"
1894,FIRESTAR | MUTANT X-,"array([-23.41281096,  24.38790927])"
1895,FIRESTRIKE/DALTON BE,"array([-13.86304106,  24.39302037])"
1896,FIREWALL/THEARY/MIN ,"array([-12.77126108,  24.61584512])"
1897,"FISHER, PROF. FRANCE","array([-16.62976455,  31.65598213])"
1898,"FISHMAN, DR. JONATHA","array([-4.60358932, 26.25710074])"
1899,"FISK, VANESSA","array([-9.53959985, 23.74581824])"
1900,FIST/,"array([-15.21501963,  22.34502883])"
1901,FITCH/,"array([-15.41803482,  23.68539291])"
1902,"FITZPATRICK, WILL","array([-7.14583154, 26.49468281])"
1903,"FITZGERALD, KENNY","array([-5.53084439, 22.2092196 ])"
1904,"FITZGERALD, MOLLY","array([-6.23786271, 23.71631695])"
1905,"FITZROY, TREVOR","array([-18.17851408,  25.84806766])"
1906,FIXER/SWEENEY,"array([-6.68949442, 25.84910707])"
1907,FIXER II/PAUL NORBER,"array([-10.14883512,  28.48837266])"
1908,FIXX,"array([-19.27864246,  25.94677138])"
1909,FIZ [SKRULL],"array([-15.56421109,  28.3800793 ])"
1910,FIZGIG/,"array([-5.56144464, 30.48725675])"
1911,FLAG-SMASHER,"array([-9.98967896, 25.78971035])"
1912,FLAMBE/,"array([-17.10905196,  23.43296593])"
1913,FLAME,"array([-5.17609334, 20.8877631 ])"
1914,FLAME II,"array([-16.3056666 ,  35.57705477])"
1915,FLARE/,"array([-11.20739969,  16.84985911])"
1916,FLASH/BARRY ALLEN/BU,"array([-9.98964763, 33.43743   ])"
1917,FLATIRON/RUSSELL,"array([-14.0032852 ,  34.66601195])"
1918,FLATMAN,"array([-11.56716911,  27.77059968])"
1919,"FLEET, JONAS","array([-3.6976629 , 21.35563861])"
1920,"FLEET, TAMARA","array([-3.37894505, 21.78582242])"
1921,"FLEMING, PHILIP","array([-11.61435382,  34.44799275])"
1922,FLEX/ADRIAN CORBO,"array([-17.3003219 ,  29.15883392])"
1923,FLINCH/,"array([-20.00360835,  31.01257842])"
1924,"FLINN, LANCELOT LANC","array([-11.18391639,  37.48757406])"
1925,"FLINT, LT.","array([-3.4901863 , 24.16881531])"
1926,FLO,"array([-19.11689695,  34.71512461])"
1927,"FLORES, DAHLIA","array([-14.46076877,  21.60615998])"
1928,"FLORES, JAMIE","array([-12.49459668,  31.43025411])"
1929,"FLORES, SHANICE","array([-14.2138735 ,  21.51922228])"
1930,"FLORESCU, ANTON","array([-0.04958052, 28.76867249])"
1931,FLUFFY,"array([-10.14087121,  19.86083987])"
1932,FLUX/PRIVATE BENNY T,"array([-9.21829353, 34.14160568])"
1933,FLY,"array([-11.01997417,  24.10742256])"
1934,FLYING DUTCHMAN,"array([-8.85360382, 32.66721434])"
1935,FLYING FOX,"array([-13.43603255,  21.22607769])"
1936,FLYING TIGER,"array([-10.44756527,  27.10446128])"
1937,FLYNN,"array([-14.01192411,  20.84500493])"
1938,"FOGELSTROM, HIRAM","array([-21.1974058 ,  26.25196663])"
1939,FOGG/THOMAS FOGG,"array([-9.41559799, 21.26947866])"
1940,"FOGG, ARCHIMEDES ARC","array([-19.46039977,  28.05556299])"
1941,FOLD,"array([-22.17529296,  25.20315989])"
1942,"FONDOZZI, MICKEY","array([-9.21764576, 21.2232991 ])"
1943,"FONG, DR. CHARLES WA","array([-14.19858582,  22.74419209])"
1944,"FONG, KATY","array([-19.05403496,  28.46466591])"
1945,"FONG, LI","array([-12.80842156,  27.77849304])"
1946,"FONTAINE, CINDER","array([-17.76109724,  25.45295394])"
1947,FONTANELLE/GLORIA DA,"array([-17.08429141,  23.55310092])"
1948,"FONTREAUX, GUY","array([-6.46583661, 27.61701341])"
1949,FOOL,"array([-13.09729036,  28.93725459])"
1950,FOOLKILLER/ROSS EVER,"array([-6.25924783, 34.90823795])"
1951,FOOLKILLER II/GREG S,"array([-6.22053503, 26.64063212])"
1952,FOOLKILLER III/KURT ,"array([-3.17672471, 24.9874036 ])"
1953,FORCE/CLAYTON WILSON,"array([-9.63620482, 30.79863146])"
1954,FORD,"array([-18.77356049,  25.49708025])"
1955,"FORD, GERALD","array([-9.93453421, 36.04465035])"
1956,FOREARM,"array([-17.26293287,  27.25709264])"
1957,FOREIGNER/RAFAEL BAS,"array([-10.64259981,  24.92189112])"
1958,FORGE,"array([-15.50200626,  26.88159393])"
1959,FORGE | EARTH 998,"array([-27.54137114,  23.77434209])"
1960,FORGE | MUTANT X-VER,"array([-21.71843853,  23.57223758])"
1961,FORGOTTEN ONE/GILGAM,"array([-13.03439205,  30.4354467 ])"
1962,"FORRESTER, CAPT. ALE","array([-15.37693733,  26.89399831])"
1963,"FORRESTER, DR. CEDRI","array([-8.23595938, 21.0837894 ])"
1964,"FORTHWARD, KENT","array([-10.81515289,  34.83137535])"
1965,FORTUNATO,"array([-9.7114345 , 22.56281136])"
1966,"FORTUNATO, GIACOMO J","array([-9.50346676, 22.87514211])"
1967,"FORTUNATO, JAMES","array([-9.09357908, 19.98049483])"
1968,"FORTUNATO, MARY","array([-8.71718659, 20.17071106])"
1969,"FORTUNE, DOMINIC","array([-4.72514252, 25.58281981])"
1970,FOUNDRY,"array([-8.11663843, 33.82902959])"
1971,"FOWLER, RED","array([-3.69695325, 28.01659866])"
1972,"FOX, PHIL","array([-5.60645829, 24.04345745])"
1973,FOXBAT,"array([-16.35116   ,  26.19401517])"
1974,FOXFIRE/OLIVIA UNDER,"array([-8.52997947, 33.46634083])"
1975,FRANKENSTEIN MONSTER,"array([-5.53300767, 30.90301784])"
1976,"FRANKENSTEIN, BASIL","array([-6.14280455, 33.2424749 ])"
1977,FRANKENSURFER/BORGO,"array([-5.27140358, 32.8428347 ])"
1978,FRANKIE THE FISH,"array([-12.77438892,  24.01815578])"
1979,"FRANKLIN, JEREMY","array([-7.66358318, 22.48669165])"
1980,"FRASER, DET. KATE","array([-21.01480986,  28.7619623 ])"
1981,FREAK QUINCY,"array([-10.78163793,  35.29240302])"
1982,FREDD,"array([-16.13429988,  33.17145481])"
1983,"FREDERICKS, GENERAL","array([-14.19417951,  26.66702022])"
1984,"FREDERICKSON, KOLINA","array([-10.22090489,  20.02203585])"
1985,FREE SPIRIT/CATHY WE,"array([-9.71913756, 27.67798519])"
1986,"FREEMAN, DEREK","array([-10.19402068,  29.13513265])"
1987,"FREEMAN, DUANE JEROM","array([-11.27463291,  29.06717434])"
1988,FRENCHIE/JEAN-PAUL D,"array([-7.37682234, 25.537428  ])"
1989,FRIDAY,"array([-13.5619183,  26.3001557])"
1990,"FRIEDLANDER, SHARON","array([-16.04603555,  27.18304707])"
1991,FRIGGA,"array([-14.44317171,  31.45210793])"
1992,FROG MAN/FROG LE BLA,"array([-11.26778026,  25.99151034])"
1993,FROG-MAN II/EUGENE P,"array([-10.29259333,  24.8272452 ])"
1994,FROH,"array([-9.37943809, 34.40228945])"
1995,FROST,"array([-9.03908577, 31.31515129])"
1996,"FROST, ADRIENNE","array([-17.12079923,  23.65859783])"
1997,"FROST, BYRON","array([-6.69759971, 29.14093541])"
1998,"FROST, CARMILLA","array([-6.79635677, 33.52055109])"
1999,"FROST, CORDELIA","array([-17.9800503,  23.8442618])"
2000,"FROST, DEACON","array([-1.26183814, 26.8153961 ])"
2001,FROSTBITE/DR. SLOANE,"array([-6.03676209, 31.47870427])"
2002,FU MANCHU,"array([-12.65320645,  20.6359764 ])"
2003,FU'SE,"array([-16.15656373,  22.7771137 ])"
2004,"FUANARO, RENEE","array([-5.26799592, 24.62109573])"
2005,FUGUE,"array([-15.83846261,  21.94888612])"
2006,"FUJIKAWA, KENJIRO","array([-5.71525255, 33.08805144])"
2007,"FUJIKAWA, RUMIKO","array([-9.53136615, 30.51626032])"
2008,"FULLERTON, MARY ELLE","array([-12.34405788,  19.08766607])"
2009,"FULLERTON-SMITH, CAS","array([-21.04481372,  27.85671302])"
2010,"FUNARO, DONNA","array([-14.29655013,  24.15979612])"
2011,FURGAR,"array([-13.20906478,  32.86739085])"
2012,"FURMAN, RICHARD","array([-4.63113678, 24.10918527])"
2013,"FURMINTZ, HARMON","array([-14.93116581,  24.28483682])"
2014,"FURY, DAWN","array([-7.86796923, 27.76176877])"
2015,"FURY, COL. NICHOLAS ","array([-10.47687515,  27.87213644])"
2016,"FURY, NICK II","array([-3.76602118, 32.01083772])"
2017,"FURY, NICK L.M.D.","array([-6.84585444, 25.20133988])"
2018,"FURY, NICK | MUTANT ","array([-21.56610934,  24.25126805])"
2019,FUSION/MARKLEY,"array([-10.61420845,  19.826423  ])"
2020,FUTURIST,"array([-15.9496957 ,  28.73045344])"
2021,G'ANYM,"array([-16.67375113,  31.32655906])"
2022,GAARD/JOHNNY STORM E,"array([-14.43332386,  32.45146281])"
2023,GAARK,"array([-14.61339539,  35.2390447 ])"
2024,GABRIEL III,"array([-7.15239331, 24.08704932])"
2025,GADFLY/RUTH MACRAE,"array([-13.9574383 ,  34.80204282])"
2026,GADRIEL,"array([-5.76331997, 22.86914499])"
2027,GAEA,"array([-11.52236696,  31.55019045])"
2028,GAFF/SIDNEY E. LEVIN,"array([-10.24195149,  29.22063568])"
2029,GAIA,"array([-17.8194012 ,  23.82256345])"
2030,GALACTUS/GALAN,"array([-13.31429781,  30.19256602])"
2031,GALADRIEL,"array([-21.10728208,  26.70956107])"
2032,"GALANNAN, BILL","array([-9.63972706, 19.75469853])"
2033,"GALE, SHERIFF","array([-20.059326  ,  19.48576096])"
2034,GALEN,"array([-16.97399787,  30.20901551])"
2035,"GALEN KOR, ADMIRAL [","array([-12.24995053,  32.60551932])"
2036,"GALLAGHER, BOB","array([-9.5668112 , 33.95340943])"
2037,GALTUS,"array([-3.72416439, 32.87001731])"
2038,"GALVIN, TOMMY","array([-6.43592167, 20.63871992])"
2039,GAMBIT/REMY LEBEAU ,"array([-15.33999033,  26.17906333])"
2040,GAMBIT DOPPELGANGER,"array([-13.04279363,  30.01280278])"
2041,GAMBIT DOPPELGANGER ,"array([-17.49613656,  30.36060745])"
2042,GAMBIT | MUTANT X-VE,"array([-21.1482918 ,  23.47431787])"
2043,"ÁGAMBLE, GRACIE","array([-19.38621614,  26.09525769])"
2044,"GAMBONNO, ERNESTO","array([-11.8542255 ,  27.87063566])"
2045,"GAMBONNO, LUIGI","array([-11.79130822,  27.83996409])"
2046,GAMECOCK/,"array([-7.7227736 , 26.39201412])"
2047,"GAMELIN, JOHN T J.T.","array([-6.91045263, 26.47549525])"
2048,GAMESMASTER/JEREMY,"array([-17.39894159,  25.06839457])"
2049,GAMMA-BURN/,"array([-10.45916217,  36.42890764])"
2050,GAMMENON [CELESTIAL],"array([-14.80237883,  30.20696603])"
2051,ÁGAMORA,"array([-13.19325591,  30.4479399 ])"
2052,"GANCE, TABITHA TABBY","array([-18.9171967 ,  22.64376522])"
2053,"GANGER, DR. ALEXEI","array([-11.79825043,  31.90851727])"
2054,"GANGER, CARMEN","array([-7.48842511, 29.05864217])"
2055,"GANNON, RICH","array([-10.53782086,  19.69837857])"
2056,"GANNON, SGT. FRANK","array([-3.50884688, 23.93552069])"
2057,GANTRY,"array([-8.03536448, 20.69109623])"
2058,GANYMEDE,"array([-9.8945794 , 34.45066904])"
2059,"GAPON, DZHOKHAR","array([-7.75461352, 27.75664646])"
2060,GAR-TOOM,"array([-16.78835232,  34.46531992])"
2061,GARABALDI,"array([-19.68902512,  23.41094452])"
2062,GARABED/BASHUR,"array([-5.39979021, 28.44542097])"
2063,"GARCIA, REV.","array([-7.19018863, 27.83641121])"
2064,GARDENER/ORD ZYONYZ ,"array([-12.98020986,  31.41166078])"
2065,"GARFIELD, MURRAY","array([-9.08572494, 33.7431093 ])"
2066,GARGOUILLE/,"array([-13.97323896,  27.05712646])"
2067,GARGOYLE/IGOR DRENKO,"array([-11.43119498,  36.19787616])"
2068,GARGOYLE II/ISAAC CH,"array([-10.43761397,  29.06360438])"
2069,GARGOYLE | MUTANT X-,"array([-23.76330096,  21.93537973])"
2070,GARM,"array([-17.4392765 ,  34.89299877])"
2071,GARNOK REBBAHN,"array([-11.80672169,  37.90860478])"
2072,GAROKK,"array([-15.14702729,  24.09604053])"
2073,GAROTTE/,"array([-7.71514328, 18.23738902])"
2074,"GARRETT, JOHN","array([-8.5622422 , 22.14845647])"
2075,"GARRISON, DR.","array([-6.6260429, 21.1902443])"
2076,GARTH,"array([-16.2849958 ,  30.42022244])"
2077,"GARTH, DONNA","array([-1.34705872, 25.82930741])"
2078,GARTHAN SAAL,"array([-14.02137079,  23.12557274])"
2079,"GARVIN, GEARS","array([-13.55530608,  28.48413179])"
2080,GATECRASHER,"array([-16.2659852 ,  28.69733153])"
2081,"GATES, JUNIOR","array([-8.13551241, 26.95363131])"
2082,GATEWAY,"array([-15.52044425,  25.77503322])"
2083,"GATOR, LORD","array([-14.35494198,  28.80083113])"
2084,GATTLING/,"array([-5.98656647, 24.34637463])"
2085,"GATZ, WILLIAM BILLY","array([-8.54764911, 22.29865382])"
2086,"GAULTHING, ANDERSON","array([-14.52454102,  22.63042757])"
2087,GAUNT/MENDEL STROMM,"array([-9.99134487, 21.64519842])"
2088,GAUNT II,"array([-19.86161582,  27.3490018 ])"
2089,"GAUNT, OFFICER KIM","array([-14.91595653,  34.47062749])"
2090,GAUNTLET,"array([-15.66991612,  25.97404284])"
2091,GAZA,"array([-14.15495224,  25.68783883])"
2092,GAZELLE,"array([-10.05058729,  33.30628963])"
2093,GEATAR,"array([-12.79017523,  33.24762085])"
2094,"GEDDINGS, JUDITH GHO","array([-8.43666074, 20.41760662])"
2095,GEE/ALEX POWER,"array([-13.607525  ,  25.87235191])"
2096,"GEESEY, KARL","array([-12.03080391,  18.52460353])"
2097,GEIGER/DELILAH DEEDE,"array([-12.83023124,  30.78158754])"
2098,GEIRRODUR,"array([-15.79730957,  31.47773327])"
2099,GEIST,"array([-17.16994068,  21.31897748])"
2100,"GELLER, URI","array([-4.80096516, 23.50152291])"
2101,GEMINI/JOSHUA LINK,"array([-9.88464599, 28.00497365])"
2102,GENECIDE,"array([-13.83441607,  22.59663655])"
2103,GENERAL ADMISSION,"array([-14.12874321,  23.13362107])"
2104,GENERAL OBSIDIAN,"array([-14.06154805,  23.66240285])"
2105,GENESIS/TYLER DAYSPR,"array([-16.45231894,  24.35438326])"
2106,GENII/JASON KIMBALL,"array([-16.92129143,  32.12085779])"
2107,GENTRY,"array([-17.58545673,  29.469325  ])"
2108,"GENUARDI, MR.","array([-5.17616785, 28.45483945])"
2109,"GEORGE, DAVID LLOYD","array([-6.26606667, 32.39361833])"
2110,"GERARD, TERENCE","array([-11.89128539,  19.88148753])"
2111,"GERASI, DON MARIO","array([-7.52777471, 21.73146187])"
2112,"GERASI, JOEY","array([-7.41073264, 19.39097955])"
2113,"GERASI, LESLIE","array([-5.84364145, 18.86909806])"
2114,"GERASI, MARY ROSE","array([-5.50709126, 19.4471465 ])"
2115,"GERHARDT, JOSEPH HEI","array([-5.41772106, 31.72450364])"
2116,"GERVASE, LADY ALYSSA","array([-53.25252208,  -5.66492635])"
2117,GESTALT,"array([-11.30487983,  36.44189627])"
2118,GHAUR [DEVIANT],"array([-12.82688238,  29.93806266])"
2119,GHOST,"array([-8.28754276, 28.87306887])"
2120,GHOST GIRL/,"array([-7.00732703, 33.20820894])"
2121,GHOST GIRL II/LILLI,"array([-17.43864131,  29.10215375])"
2122,GHOST RIDER II/JOHNN,"array([-7.9878388 , 27.17402112])"
2123,GHOST RIDER III/DAN ,"array([-9.30453185, 25.72694476])"
2124,GIBBON/MARTIN BLANK,"array([-8.90495892, 23.21217091])"
2125,GIDEON,"array([-15.91365152,  25.44550412])"
2126,"GIDEON, CLAIRE","array([-16.17348857,  30.77188376])"
2127,"GIDEON, GREGORY HUNG","array([-15.44159615,  30.47359776])"
2128,GIGANTO,"array([-12.66982273,  33.94071678])"
2129,GIGANTUS,"array([-9.60500936, 32.11686633])"
2130,GIL,"array([-19.27489088,  22.7307364 ])"
2131,"GILBERT, PROFESSOR G","array([-14.85207135,  30.12756342])"
2132,"GILBERT, ROXANNE","array([-9.29347256, 30.3838737 ])"
2133,"GILBERTI, ROSE","array([-19.62104944,  26.38613054])"
2134,"GILLISPIE, ANDREW AN","array([-7.55395324, 26.08104413])"
2135,"GILMORE, BERT","array([-5.81389566, 21.71658264])"
2136,GIN GENIE/BECKAH,"array([-20.84087539,  21.23275045])"
2137,GIRABOOR,"array([-16.59692362,  32.45404349])"
2138,"GIURESCU, RADU","array([ -7.3756455 , -25.94250674])"
2139,GLABOO,"array([-13.46459166,  32.39210364])"
2140,GLADIATOR/MELVIN POT,"array([-8.09706688, 25.63755706])"
2141,GLADIATOR II,"array([-15.20513791,  28.80584652])"
2142,GLADIATRIX,"array([-13.78608021,  26.59728263])"
2143,GLAMOUR GIRL/GLORIA,"array([-6.02504053, 31.63165907])"
2144,"GLAZER, FAST FREDDY","array([-12.94531495,  21.47169584])"
2145,"GLEASON, KAREN","array([-21.6096878 ,  27.55569178])"
2146,GLEEG,"array([-16.94166852,  30.99789053])"
2147,"GLENN, HEATHER","array([-8.78222519, 25.34185585])"
2148,GLITCH/CHARLES J. AM,"array([-5.4479864 , 29.83592957])"
2149,GLITTER/,"array([-11.82226417,  36.07091931])"
2150,GLOB/DR. SUMNER BECK,"array([-10.64643071,  34.90301553])"
2151,GLOM,"array([-15.83550117,  30.41022585])"
2152,GLORIAN/THOMAS GIDEO,"array([-12.89217525,  32.26538139])"
2153,GLORIOLE,"array([-21.51270981,  32.97221372])"
2154,GLOUCESTER,"array([-4.92986752, 31.00271569])"
2155,GLUB,"array([-17.72931602,  24.86781832])"
2156,"GNUCCI, MA","array([-6.54876114, 19.06127458])"
2157,GO-DEVIL/GO ISHIMORI,"array([-13.05651344,  34.36675427])"
2158,GOBLYN,"array([-16.1197162,  29.2938223])"
2159,GODSTALKER,"array([-14.66558353,  35.85454725])"
2160,GODWULF,"array([-1.0668259 , 30.14326931])"
2161,GOG,"array([-12.03152008,  24.72314713])"
2162,GOG II,"array([-11.03098419,  34.6398042 ])"
2163,GOG III,"array([-14.98299601,  24.39492526])"
2164,GOGO TAMAGO/,"array([-18.75495761,  26.03816576])"
2165,GOLD,"array([-6.71787105, 26.49423299])"
2166,GOLDBUG,"array([-9.47449798, 28.6734671 ])"
2167,GOLDDIGGER,"array([-9.68051008, 26.73442891])"
2168,GOLDEN ARCHER II/WYA,"array([-9.81202976, 31.40144229])"
2169,GOLDEN GIRL/GWENNY L,"array([-8.74285339, 33.07932449])"
2170,GOLDEN-BLADE,"array([-9.8221358 , 32.53981196])"
2171,"GOLDFARB, AARON","array([-10.95446744,  35.56521154])"
2172,GOLDFIRE/AMEIKO SABU,"array([-8.73005425, 27.61131179])"
2173,GOLDIELOCKS/,"array([-4.14340902, 24.0306981 ])"
2174,GOLEM/JACOB GOLDSTEI,"array([-7.4895379 , 33.13874134])"
2175,GOLEM II,"array([-9.31740197, 37.08925064])"
2176,GOLEM III,"array([-3.54036648, 30.69202781])"
2177,GOMURR,"array([-15.09199296,  24.91359717])"
2178,"GONZALEZ, RAYMOND","array([-4.48806405, 23.49554586])"
2179,GOOM,"array([-13.14828276,  39.91935756])"
2180,"GOONER, MELVIN","array([-14.16968483,  23.35083827])"
2181,GORGEOUS GEORGE,"array([-19.14989429,  27.76477552])"
2182,GORGILLA,"array([-10.53496069,  33.76178942])"
2183,GORGON [INHUMAN],"array([-13.29721923,  29.62827157])"
2184,GORGON | MUTANT X-VE,"array([-23.86113748,  23.58698083])"
2185,GORILLA-MAN,"array([-11.50253095,  35.17203786])"
2186,GORN,"array([-5.42578196, 27.75078154])"
2187,GORNKAI,"array([-13.28814056,  31.13911962])"
2188,GOROTH,"array([-17.93118709,  28.89602196])"
2189,GORR,"array([-15.6888247 ,  30.64637629])"
2190,GOSAMYR,"array([-16.93698758,  25.71014034])"
2191,GOTH,"array([-18.93410613,  26.77397471])"
2192,"GOTTFRIED, WILLIS","array([-9.99784389, 19.89319998])"
2193,"GOULDING, DR.","array([-7.01103616, 23.92096834])"
2194,"GOYER, SAUL","array([-17.88553459,  28.77693838])"
2195,GRACE,"array([-17.56971059,  24.6683565 ])"
2196,GRAND OVERSEER,"array([-11.01048588,  37.54522132])"
2197,GRANDE DAME,"array([-18.6341937 ,  22.84222271])"
2198,GRANDMASTER/EN DWI G,"array([-11.96535303,  30.74233689])"
2199,GRANITOR,"array([-10.06463284,  39.11378157])"
2200,"GRANT, DONALD","array([-7.45944839, 34.73359814])"
2201,"GRANT, GATOR","array([-13.30136461,  23.31532614])"
2202,"GRANT, GLORIA GLORY","array([-10.57437267,  23.90315814])"
2203,"GRANT, MARY MEEKS","array([-6.88728957, 34.431181  ])"
2204,"GRANT, PHILLIP","array([-7.87528809, 31.90461029])"
2205,"GRANT, SILAS","array([-14.97337202,  31.40912469])"
2206,"GRANT, SILAS II","array([-14.50202192,  35.63514863])"
2207,GRAPPLER,"array([-6.86556746, 29.14730867])"
2208,GRASP,"array([-10.43904965,  25.81871223])"
2209,"GRASSWIND, Z'OOFREY","array([-14.39095389,  35.31287039])"
2210,GRAVEMOSS,"array([-18.82183372,  28.1380644 ])"
2211,GRAVITON/FRANK HALL,"array([-10.43156013,  28.26401355])"
2212,"GRAY, CHARLES","array([-8.23590505, 32.28898002])"
2213,"GRAY, SGT.","array([-16.8599348 ,  32.80602685])"
2214,"GRAZIA, VINCENT VINN","array([-6.34246403, 22.95592027])"
2215,GREASE,"array([-3.88423601, 33.49370062])"
2216,GREASY,"array([-18.45704277,  22.95168293])"
2217,GREEN GOBLIN/NORMAN ,"array([-10.4585025 ,  24.17219124])"
2218,GREEN GOBLIN III/BAR,"array([-9.91853431, 22.57994916])"
2219,GREEN GOBLIN IV/PHIL,"array([-10.96474188,  22.3081388 ])"
2220,GREEN GOBLIN V/,"array([-10.50965593,  23.28518686])"
2221,GREEN GOBLIN | MUTAN,"array([-22.35403062,  23.54617736])"
2222,"GREEN, ARNIE","array([-4.21766952, 30.23412428])"
2223,"GREEN, JAMES","array([-4.79505655, 29.97719616])"
2224,"GREEN, LILA","array([-4.85728893, 31.66601123])"
2225,GREENSONG,"array([-16.0502227 ,  29.68400399])"
2226,"GREER, DAVID","array([-12.15568264,  36.89879125])"
2227,"GREER, GABRIELLE","array([-11.41071501,  20.06677093])"
2228,GREGOR,"array([-13.20132714,  22.32713555])"
2229,"GREGORY, TODD","array([-10.22368627,  37.53752561])"
2230,"GREICO, LINDA","array([-6.6033446 , 20.22957174])"
2231,GREMLIN/,"array([-12.49416868,  29.61327148])"
2232,GRENDEL'S MOTHER,"array([-13.1480277 ,  35.11942695])"
